Categoría,Nombre,Ubicación,Actividad,Teléfono,Correo,Sitio Web,Link
Energía,Instituto Internacional de Recursos Renovables (IRRI),"Instituto Internacional de Recursos Renovables (IRRI) 

 México D.F.",Transferencia de ecotecnologías para promover el desarrollo justo y sustentable.,55 52 56 56 86,info@irrimexico.org,https://irrimexico.org/,https://ecotec.unam.mx/organizaciones/instituto-internacional-de-recursos-renovables
Energía,CALIXAXAN,"CALIXAXAN 

 Veracruz",Facilitar herramientas de conocimiento para que la población de la microrregión Sierra del Totonacapan se apropie del proceso de gestión y aprovechamiento de sus recursos naturales y culturales de manera sustentable.,78 41 34 51 10,calixaxan@hotmail.com,https://www.calixaxan.org,https://ecotec.unam.mx/organizaciones/calixaxan
Energía,Ecotecnia,"Ecotecnia 

 Michoacán",Consultoría en energías renovables y desarrollo de proyectos sostenibles,(443) 314 5800,salehgisawi@ecotecnia.com.mx,http://www.ecotecnia.com.mx,https://ecotec.unam.mx/organizaciones/ecotecnia
Energía,Centro de Capacitación Eléctrica y Energías Alternas (CCEEA),"Centro de Capacitación Eléctrica y Energías Alternas (CCEEA) 

 Oaxaca",Formar profesionales en el área de las energías alternas.,01 951 513 5376,logistica@cceea.com.mx,http://cceea.mx/,https://ecotec.unam.mx/organizaciones/centro-de-capacitacion-electrica-y-energias-alternas-cceea
Energía,Enchúlame la Bici,"Enchúlame la Bici 

 México D.F.",Taller comunitario de bicicletas,55 70 38 90 57,contactoenchulamelabici@gmail.com,https://es-la.facebook.com/EnchulameLaBici,https://ecotec.unam.mx/organizaciones/enchulame-la-bici
Energía,Bicimáquinas Gdl,"Bicimáquinas Gdl 

 Jalisco",Generación de tecnologías sostenibles,33 31 43 69 42,info@bicimaquinas.com,http://www.bicimaquinas.com/,https://ecotec.unam.mx/organizaciones/bicimaquinas-gdl
Energía,Universidad Intercultural Indígena de Michoacán (UIIM),"Universidad Intercultural Indígena de Michoacán (UIIM) 

 Michoacán",Producción de conocimiento aplicado,(434) 34 2 23 07,contacto@uiim.edu.mx,http://www.uiim.edu.mx,https://ecotec.unam.mx/organizaciones/universidad-intercultural-indigena
Energía,Instituto Tonatzin Tlalli (ITT),"Instituto Tonatzin Tlalli (ITT) 

 Oaxaca","Investigación, aplicación y dispersión de soluciones rurales",95 15 11 52 44,bonanzaoax@hotmail.com,http://grupedsacitt.wixsite.com/parajebonanza,https://ecotec.unam.mx/organizaciones/instituto-tonatzin-tlalli-itt
Energía,Instituto de Investigaciones en Ecosistemas y Sustentabilidad (IIES),"Instituto de Investigaciones en Ecosistemas y Sustentabilidad (IIES) 

 Michoacán",Conocimiento científico para la conservación,55 56 22 27 04,portal@iies.unam.mx,http://www.iies.unam.mx,https://ecotec.unam.mx/organizaciones/centro-de-investigaciones-en-ecosistemas-cieco
Integral,"Fundación Ollin Quetzá, A.C.","Fundación Ollin Quetzá, A.C. 

 México D.F.",Fomento de la unión social entre las Empresas Socialmente Responsables e Instituciones sociales; creando espacios habitables con la implementación de huertos urbanos.,555 51 03 314,,http://www.ollinquetza.org,https://ecotec.unam.mx/organizaciones/fundacion-ollin-quetza-a-c
Integral,ECO TECH MX,"ECO TECH MX 

 Quintana Roo","Proyecto fondeado por el Instituto Nacional del Emprendedor y Secretaría de Economía e implementado por la CONCAMIN para la transferencia de conocimiento en temas de ecotecnias y sustentabilidad a empresas turísticas de la región de Quintana Roo, Yucatán y Campeche, para desarrollar alternativas con impacto positivo en medio ambiente y ahorren costos.",554 81 43 679,info@eco-tech-mx.com,https://www.facebook.com/EcoTechMex/,https://ecotec.unam.mx/organizaciones/eco-tech-mx
Integral,Programa Viva A.C.,"Programa Viva A.C. 

 Estado de México","Diseño y asesoramiento en la construcción de viviendas con recursos naturales, desarrollo y fomento de ecotecnias.",72 66 88 50 01,info@programaviva.org,http://www.programaviva.org/,https://ecotec.unam.mx/organizaciones/programa-viva-a-c
Integral,Proyecto ConcentrArte,"Proyecto ConcentrArte 

 México D.F.","Trabajar en la educación, resiliencia y participación comunitaria mediante el arte.",55 52 11 75 04,contacto@concentrarte.org,http://www.concentrarte.org,https://ecotec.unam.mx/organizaciones/proyecto-concentrarte
Integral,Laboratorio Nacional de Innovación Ecotecnológica para la Sustentabilidad,"Laboratorio Nacional de Innovación Ecotecnológica para la Sustentabilidad 

 Michoacán","Promover el desarrollo científico y la innovación de forma interdisciplinaria que contribuyan al desarrollo sustentable, considerando el contexto social y respondiendo a las necesidades concretas de la población.",443 322 25 06,,http://www.lanies.unam.mx,https://ecotec.unam.mx/organizaciones/laboratorio-nacional-de-innovacion-ecotecnologica-para-la-sustentabili
Integral,Servicios Sustentables para el Desarrollo Integral Marea Verde S.C.,"Servicios Sustentables para el Desarrollo Integral Marea Verde S.C. 

 Guerrero",Co-diseño y co-construcción de las ecotecnias con los usuarios como método para la apropiación de conocimientos,55 27 26 83 31,ecotecnologiasmareaverde@gmail.com,http://mareaverdemexico.com,https://ecotec.unam.mx/organizaciones/servicios-sustentables-para-el-desarrollo-integral-marea-verde-s-c
Integral,Centro de Ecotecnologías y Desarrollo Sustentable (CECODES),"Centro de Ecotecnologías y Desarrollo Sustentable (CECODES) 

 Chiapas","CECODES está integrado a la Facultad de Ingeniería de la Universidad Autónoma de Chiapas y la Asociación Civil Indígena Yashalum. Se involucran estudiantes de licenciatura y maestría para el seguimiento de ecotecnias tales como letrinas secas, sistemas naturales para tratamiento de aguas residuales, propuestas de viviendas ecológicas, manejo de áreas naturales en conservación en bosque de niebla, entre otras actividades",9611773304,cecodesn@gmail.com,http://www.cecodes.net/index.html,https://ecotec.unam.mx/organizaciones/centro-de-ecotecnologias-y-desarrollo-sustentable-cecodes
Integral,Estampa Verde,"Estampa Verde 

 Veracruz","Se especializan en el diseño, implementación y manejo de sistemas agroecológicos diseñados con criterios de Permacultura que permitan la diversificación y reconversión productiva de las prácticas convencionales agropecuarias",5519028183,antoniocarrillo@hotmail.com,https://estampaverde.org,https://ecotec.unam.mx/organizaciones/estampa-verde
Integral,Permacultura México,"Permacultura México 

 Guanajuato",Capacitaciones en Diseño con base en Permacultura.,(01) 468 688 2059,permaculturamexico@gmail.com,http://www.permacultura.org.mx/,https://ecotec.unam.mx/organizaciones/permacultura-mexico
Integral,PermaVerde,"PermaVerde 

 Guanajuato","Programas de agricultura ecológica para productores locales, educación ambiental en escuelas e instituciones para generar emprendimientos agrícolas sostenibles.",413 101 56 16,hola@permaverde.com.mx,http://www.permaverde.com.mx,https://ecotec.unam.mx/organizaciones/permaverde
Integral,Crisalium,"Crisalium 

 Chiapas",Capacitación para la implementación de ecotecnias.,(967) 128 1418,crisalium@gmail.com,,https://ecotec.unam.mx/organizaciones/crisalium
Integral,"Asociación Territorios Vivos México, A.C.","Asociación Territorios Vivos México, A.C. 

 México D.F.","Diseño, ejecución y promoción  de proyectos innovadores de conservación y desarrollo con enfoque socio-ambiental, considerando una perspectiva de  género y etnia.",(55) 55 87 12 93,info@atvmex.org,http://www.atvmex.org/,https://ecotec.unam.mx/organizaciones/asociacion-territorios-vivos-mexico-a-c
Residuos,CALIXAXAN,"CALIXAXAN 

 Veracruz",Facilitar herramientas de conocimiento para que la población de la microrregión Sierra del Totonacapan se apropie del proceso de gestión y aprovechamiento de sus recursos naturales y culturales de manera sustentable.,78 41 34 51 10,calixaxan@hotmail.com,https://www.calixaxan.org,https://ecotec.unam.mx/organizaciones/calixaxan
Residuos,"Grupo de Tecnología Alternativa, S.C.","Grupo de Tecnología Alternativa, S.C. 

 México D.F.",Reciclaje de desechos orgánicos líquidos y sólidos,52562178,gtasc2008@gmail.com,http://www.sirdo.com.mx/home.htm,https://ecotec.unam.mx/organizaciones/grupo-de-tecnologia-alternativa-s-c
Residuos,Yo Reciclo,"Yo Reciclo 

 Baja California Sur",Fomentar la reducción del consumo y la reutilización y el reciclaje de materiales.,624 175 3868,reciclandome@gmail.com,https://www.yo-reciclo.org,https://ecotec.unam.mx/organizaciones/yo-reciclo
Residuos,Sistema Biobolsa,"Sistema Biobolsa 

 México D.F.","Desarrollo, investigación y difusión de biodigestores de bajo costo.",(55) 52118617,alex@irrimexico.org,http://sistemabiobolsa.com/inicio/,https://ecotec.unam.mx/organizaciones/sistema-biobolsa-2
Residuos,Centro de Mujeres Tonantzin,"Centro de Mujeres Tonantzin 

 Chihuahua",Ecología Sustentable para familias de bajos recursos,,,http://www.corazonesqueeducan.mx/corazones/index.php?catid=38&id=62:tonanzin&option=com_content&view=article,https://ecotec.unam.mx/organizaciones/centro-de-mujeres-tonantzin
Residuos,SARAR Transformación,"SARAR Transformación 

 Morelos",Desarrollo y promoción de sistemas de saneamiento ecológico y descentralizado,(739) 395750,sarar@sarar-t.org,http://www.sarar-t.org,https://ecotec.unam.mx/organizaciones/sarar-transformacion
Residuos,Fondo Procuenca Valle de Bravo (FPCVB),"Fondo Procuenca Valle de Bravo (FPCVB) 

 Estado de México","Establecer estrategias, proyectos y acciones que favorezcan la permanencia de los bosques y el agua, y el mejoramiento de la calidad de los ecosistemas a través de una nueva relación de los pobladores con su entorno natural.",,info@procuenca.org,http://procuenca.org,https://ecotec.unam.mx/organizaciones/fondo-pro-cuenca-valle-de-bravo-fpcvb
Residuos,Instituto Mexicano de la Tecnología del Agua (IMTA),"Instituto Mexicano de la Tecnología del Agua (IMTA) 

 Morelos",Manejo del agua,52 (777) 329 3600,,http://www.imta.gob.mx/,https://ecotec.unam.mx/organizaciones/instituto-mexicano-de-la-tecnologia-del-agua-imta
Residuos,Fideicomiso de Riesgo Compartido (FIRCO),Fideicomiso de Riesgo Compartido (FIRCO),Promover agronegocios,(55) 5062-1200   Ext.: 31002,,http://www.firco.gob.mx,https://ecotec.unam.mx/organizaciones/fideicomiso-de-riesgo-compartido-firco
Vivienda,Programa VACA A.C.,"Programa VACA A.C. 

 México D.F.","Plataforma de construcción comunitaria con materiales y técnicas regionales para el combate de la pobreza habitacional en zonas rurales y territorios indígenas a través del diseño participativo, incluyente y pluralista.",556 10 91 413,programavaca@gmail.com,http://www.programavaca.org.mx/,https://ecotec.unam.mx/organizaciones/programa-vaca-a-c
Vivienda,Programa Viva A.C.,"Programa Viva A.C. 

 Estado de México","Diseño y asesoramiento en la construcción de viviendas con recursos naturales, desarrollo y fomento de ecotecnias.",72 66 88 50 01,info@programaviva.org,http://www.programaviva.org/,https://ecotec.unam.mx/organizaciones/programa-viva-a-c
Vivienda,Semillero Espiral,"Semillero Espiral 

 Hidalgo",Tequios para la bioconstrucción de espacios autogestivos mezclando ecoturismo con trabajo colectivo.,8123912447,mendozaortizxochitl@gmail.com,https://www.facebook.com/Semillero-Espiral-1020857478008525/?fref=ts,https://ecotec.unam.mx/organizaciones/semillero-espiral
Vivienda,Bambuterra,"Bambuterra 

 México D.F.",Construcción con principios de ecodiseño y sustentabilidad utilizando bambú y otros materiales naturales.,(55) 41 237 593,luisa@bambuterra.com.mx,http://bambuterra.com.mx/,https://ecotec.unam.mx/organizaciones/bambuterra
Vivienda,Proyecto San Isidro,"Proyecto San Isidro 

 Tlaxcala",Centro de capacitación e impartición de talleres,(01241)49-6-06-65,proyectosanisidro@hotmail.com,http://www.proyectosanisidro.com,https://ecotec.unam.mx/organizaciones/proyecto-san-isidro
Vivienda,Eco-Constructores,"Eco-Constructores 

 Oaxaca",Construcción Natural,(52) 9515 4412 34,ecoconstructoresoaxaca@gmail.com,http://www.ecoconstructoresoaxaca.com,https://ecotec.unam.mx/organizaciones/eco-constructores
Vivienda,Échale a tu casa,"Échale a tu casa 

 México D.F.",Proceso de construcción y fortalecimiento del tejido social,01 800 000 91 00 - (55) 55 63 52 00,informes@echale.com.mx,http://www.echale.com.mx/,https://ecotec.unam.mx/organizaciones/echale-a-tu-casa
Vivienda,Ayúdame que También Soy Mexicano,"Ayúdame que También Soy Mexicano 

 México D.F.",Construcción de viviendas,5566-5856,informes@atm.org.mx,http://www.atm.org.mx,https://ecotec.unam.mx/organizaciones/ayudame-que-tambien-soy-mexicano
Vivienda,Hombres de Maíz A.C.,"Hombres de Maíz A.C. 

 Guanajuato",Permacultura y Construcción con Súper adobe,(045) 4624827067,contacto@hombresdemaiz.com,http://www.hombresdemaiz.com,https://ecotec.unam.mx/organizaciones/hombres-de-maiz-a-c
